排名,板块名称,板块代码,最新价,涨跌额,涨跌幅,总市值,换手率,上涨家数,下跌家数,领涨股票,领涨股票-涨跌幅
347,熔盐储能,BK1103,1167.67,-0.16,-0.01,101349509000,3.15,3,7,西子洁能,7.65
348,中字头,BK0505,9873.29,-2.13,-0.02,16579103232000,0.96,34,66,中国一重,10.0
349,农业种植,BK0888,2568.34,-0.55,-0.02,843273168000,3.33,32,51,晨光生物,5.67
350,白酒,BK0896,2237.49,-0.62,-0.03,3236593456000,2.29,15,32,巨力索具,5.34
351,蓝宝石,BK0674,3463.91,-1.66,-0.05,719481680000,5.66,8,9,安泰科技,3.46
352,参股券商,BK0514,16525.86,-9.4,-0.06,4566582784000,3.12,45,82,德美化工,9.99
353,TOPCon电池,BK1097,945.54,-0.53,-0.06,719498976000,4.77,18,24,帝科股份,11.81
354,减肥药,BK1146,1392.8,-0.78,-0.06,1024508016000,3.47,10,24,普蕊斯,14.7
355,煤化工,BK0492,11591.49,-8.31,-0.07,2860750112000,2.8,30,43,君正集团,10.1
356,可控核聚变,BK1163,2519.75,-2.34,-0.09,2056315248000,4.8,29,44,爱科赛博,12.81
357,刀片电池,BK0951,3226.65,-3.54,-0.11,1075208896000,5.17,6,6,鹏辉能源,2.74
358,传感器,BK0905,2398.7,-2.89,-0.12,2389797632000,6.08,52,61,金卡智能,8.92
359,减速器,BK1100,2136.42,-2.76,-0.13,1245250240000,8.9,24,57,江顺科技,10.0
360,动力电池回收,BK1052,1012.82,-1.41,-0.14,2814171344000,4.31,16,24,杰瑞股份,10.0
361,超超临界发电,BK1087,1506.37,-2.18,-0.14,1307742400000,2.84,13,36,常宝股份,9.99
362,猪肉概念,BK0882,1322.26,-1.8,-0.14,832716256000,2.28,12,23,巨星农牧,2.35
363,工业气体,BK0981,2215.5,-3.49,-0.16,559896880000,3.17,10,16,创元科技,9.24
364,AB股,BK0498,12562.21,-20.69,-0.16,1415169744000,2.65,22,45,东方通信,5.97
365,IPO受益,BK0697,3647.48,-6.28,-0.17,2693215968000,2.64,21,34,信雅达,5.19
366,低碳冶金,BK0979,1087.83,-1.85,-0.17,331687424000,1.48,2,5,酒钢宏兴,3.74
367,石墨烯,BK0617,2778.89,-5.08,-0.18,1021260432000,4.41,29,33,中国动力,2.81
368,PVDF概念,BK1012,1221.68,-2.22,-0.18,460195984000,3.18,6,8,东阳光,6.08
369,土地流转,BK0632,1905.87,-3.77,-0.2,507738080000,4.65,13,32,杭钢股份,8.12
370,痘病毒防治,BK1085,995.51,-2.07,-0.21,679699872000,5.41,21,32,翰宇药业,4.0
371,3D摄像头,BK0901,1806.14,-3.77,-0.21,702709536000,3.59,4,5,水晶光电,2.46
372,合成生物,BK1174,1435.97,-2.99,-0.21,1555370160000,5.17,39,73,三维天地,20.0
373,租售同权,BK0822,799.51,-1.85,-0.23,384444688000,2.78,3,12,明牌珠宝,10.01
374,医废处理,BK0914,1364.19,-3.26,-0.24,228112241000,2.97,9,18,玉禾田,5.44
375,HS300_,BK0500,12706.53,-37.35,-0.29,68506648320000,1.11,98,199,用友网络,10.01
376,鸡肉概念,BK0887,792.27,-2.31,-0.29,367442640000,1.52,7,12,巨星农牧,2.35
377,东北振兴,BK0838,1284.06,-3.91,-0.3,788446288000,3.01,21,33,金杯汽车,4.26
378,生物疫苗,BK0548,31018.2,-94.11,-0.3,1090969776000,3.84,22,48,君正集团,10.1
379,生态农业,BK0669,1609.3,-4.9,-0.3,316533856000,3.81,14,24,托普云农,4.23
380,超级电容,BK0703,4972.25,-15.37,-0.31,668413360000,3.72,11,19,黑牡丹,3.42
381,中药概念,BK0615,2450.64,-7.51,-0.31,2151320336000,4.27,43,99,新里程,10.0
382,券商概念,BK0711,1256.08,-3.96,-0.31,4465929984000,2.41,12,40,华林证券,6.77
383,人脑工程,BK0706,6987.15,-21.5,-0.31,1130601888000,13.85,21,26,国际医学,9.95
384,肝炎概念,BK1078,1495.93,-4.84,-0.32,702209680000,5.17,22,34,翰宇药业,4.0
385,中特估,BK1139,1270.49,-4.33,-0.34,25670897152000,0.59,20,59,烽火通信,7.99
386,地摊经济,BK0924,2271.88,-7.88,-0.35,614101568000,3.86,7,23,西安饮食,6.02
387,低价股,BK1053,1222.11,-4.45,-0.36,1462159472000,2.59,32,88,新里程,10.0
388,茅指数,BK0999,814.18,-2.91,-0.36,14068781568000,1.95,16,26,阳光电源,3.23
389,轮毂电机,BK1099,1266.68,-4.64,-0.36,78199565000,4.24,2,7,八方股份,1.9
390,工业大麻,BK0856,2156.67,-7.74,-0.36,448319184000,3.72,10,25,晨光生物,5.67
391,稀土永磁,BK0578,3649.38,-13.65,-0.37,1440708384000,4.65,20,34,安泰科技,3.46
